item1,item2,lat,lon,geographical_distance,linguistic_similarity,from_misha,neighborhood,predictions,q1,q2,residuals,color,id,ID
Amsar,Kala,41.60348,47.33116,2.849564007193163,0.24136000000000002,TRUE,neighbor,0.2594439837861911,0.21525179022976826,0.30235366249455964,-0.018083983786191082,black,1,Amsar_Kala
Amsar,Kala,41.577819,47.3499843,2.849564007193163,0.24136000000000002,TRUE,neighbor,0.2594439837861911,0.21525179022976826,0.30235366249455964,-0.018083983786191082,black,2,Amsar_Kala
Amsar,Luchek,41.60348,47.33116,2.6958550650039266,0.22407999999999995,TRUE,neighbor,0.2587052296522561,0.2145524844729306,0.3015715436986329,-0.03462522965225617,black,1,Amsar_Luchek
Amsar,Luchek,41.60988,47.307307,2.6958550650039266,0.22407999999999995,TRUE,neighbor,0.2587052296522561,0.2145524844729306,0.3015715436986329,-0.03462522965225617,black,2,Amsar_Luchek
Dzhilikhur,Ikhrek,41.65545,47.26768,7.0404993033205905,0.3430447058823529,TRUE,neighbor,0.28041999269272294,0.23517537411421144,0.32449340548626904,0.06262471318962998,green,1,Dzhilikhur_Ikhrek
Dzhilikhur,Ikhrek,41.693931,47.210005,7.0404993033205905,0.3430447058823529,TRUE,neighbor,0.28041999269272294,0.23517537411421144,0.32449340548626904,0.06262471318962998,green,2,Dzhilikhur_Ikhrek
Dzhilikhur,Luchek,41.65545,47.26768,5.588360544229246,0.30320470588235293,TRUE,neighbor,0.2729665538568192,0.2280811808941731,0.3166411462317419,0.030238152025533704,black,1,Dzhilikhur_Luchek
Dzhilikhur,Luchek,41.60988,47.307307,5.588360544229246,0.30320470588235293,TRUE,neighbor,0.2729665538568192,0.2280811808941731,0.3166411462317419,0.030238152025533704,black,2,Dzhilikhur_Luchek
Dzhilikhur,Myukhrek,41.65545,47.26768,3.096713616760204,0.18236235294117642,TRUE,neighbor,0.2606362569350765,0.2163807482084728,0.303615571901525,-0.0782739039939001,tomato,1,Dzhilikhur_Myukhrek
Dzhilikhur,Myukhrek,41.68,47.29,3.096713616760204,0.18236235294117642,TRUE,neighbor,0.2606362569350765,0.2163807482084728,0.303615571901525,-0.0782739039939001,tomato,2,Dzhilikhur_Myukhrek
Ikhrek,Dzhilikhur,41.693931,47.210005,7.0404993033205905,0.3430447058823529,TRUE,neighbor,0.28041999269272294,0.23517537411421144,0.32449340548626904,0.06262471318962998,green,1,Ikhrek_Dzhilikhur
Ikhrek,Dzhilikhur,41.65545,47.26768,7.0404993033205905,0.3430447058823529,TRUE,neighbor,0.28041999269272294,0.23517537411421144,0.32449340548626904,0.06262471318962998,green,2,Ikhrek_Dzhilikhur
Kala,Amsar,41.577819,47.3499843,2.849564007193163,0.24136000000000002,TRUE,neighbor,0.2594439837861911,0.21525179022976826,0.30235366249455964,-0.018083983786191082,black,1,Kala_Amsar
Kala,Amsar,41.60348,47.33116,2.849564007193163,0.24136000000000002,TRUE,neighbor,0.2594439837861911,0.21525179022976826,0.30235366249455964,-0.018083983786191082,black,2,Kala_Amsar
Kala,Kufa,41.577819,47.3499843,3.169762310877025,0.2397223529411765,TRUE,neighbor,0.26098969866546173,0.21671550347860447,0.3039895740808467,-0.021267345724285236,black,1,Kala_Kufa
Kala,Kufa,41.564115,47.376937,3.169762310877025,0.2397223529411765,TRUE,neighbor,0.26098969866546173,0.21671550347860447,0.3039895740808467,-0.021267345724285236,black,2,Kala_Kufa
Kala,Shinaz,41.577819,47.3499843,4.197169576174541,0.27197176470588236,TRUE,neighbor,0.26601182458129924,0.22147617310837195,0.3092997910363664,0.0059599401245831185,black,1,Kala_Shinaz
Kala,Shinaz,41.618658,47.375666,4.197169576174541,0.27197176470588236,TRUE,neighbor,0.26601182458129924,0.22147617310837195,0.3092997910363664,0.0059599401245831185,black,2,Kala_Shinaz
Khnov,Kiche,41.378607,47.443605,12.24713005746352,0.4709788235294118,TRUE,neighbor,0.308857078985271,0.26238284888799907,0.3543112867434688,0.1621217445441408,green,1,Khnov_Kiche
Khnov,Kiche,41.53146,47.48171,12.24713005746352,0.4709788235294118,TRUE,neighbor,0.308857078985271,0.26238284888799907,0.3543112867434688,0.1621217445441408,green,2,Khnov_Kiche
Kiche,Khnov,41.53146,47.48171,12.24713005746352,0.4709788235294118,TRUE,neighbor,0.308857078985271,0.26238284888799907,0.3543112867434688,0.1621217445441408,green,1,Kiche_Khnov
Kiche,Khnov,41.378607,47.443605,12.24713005746352,0.4709788235294118,TRUE,neighbor,0.308857078985271,0.26238284888799907,0.3543112867434688,0.1621217445441408,green,2,Kiche_Khnov
Kiche,Rutul,41.53146,47.48171,6.098084422319832,0.2076,TRUE,neighbor,0.27555999043991974,0.23054781218899933,0.31937515550837603,-0.06795999043991974,tomato,1,Kiche_Rutul
Kiche,Rutul,41.5342,47.4269,6.098084422319832,0.2076,TRUE,neighbor,0.27555999043991974,0.23054781218899933,0.31937515550837603,-0.06795999043991974,tomato,2,Kiche_Rutul
Kina,Luchek,41.6166,47.2647,4.76472735934158,0.21223058823529417,TRUE,neighbor,0.2688274547371891,0.22414850699397226,0.3122736555332726,-0.05659686650189494,tomato,1,Kina_Luchek
Kina,Luchek,41.60988,47.307307,4.76472735934158,0.21223058823529417,TRUE,neighbor,0.2688274547371891,0.22414850699397226,0.3122736555332726,-0.05659686650189494,tomato,2,Kina_Luchek
Kufa,Kala,41.564115,47.376937,3.169762310877025,0.2397223529411765,TRUE,neighbor,0.26098969866546173,0.21671550347860447,0.3039895740808467,-0.021267345724285236,black,1,Kufa_Kala
Kufa,Kala,41.577819,47.3499843,3.169762310877025,0.2397223529411765,TRUE,neighbor,0.26098969866546173,0.21671550347860447,0.3039895740808467,-0.021267345724285236,black,2,Kufa_Kala
Kufa,Rutul,41.564115,47.376937,5.994522691216179,0.1546776470588236,TRUE,neighbor,0.27503108920618247,0.23004461406059878,0.31881774322693657,-0.12035344214735888,tomato,1,Kufa_Rutul
Kufa,Rutul,41.5342,47.4269,5.994522691216179,0.1546776470588236,TRUE,neighbor,0.27503108920618247,0.23004461406059878,0.31881774322693657,-0.12035344214735888,tomato,2,Kufa_Rutul
Luchek,Amsar,41.60988,47.307307,2.6958550650039266,0.22407999999999995,TRUE,neighbor,0.2587052296522561,0.2145524844729306,0.3015715436986329,-0.03462522965225617,black,1,Luchek_Amsar
Luchek,Amsar,41.60348,47.33116,2.6958550650039266,0.22407999999999995,TRUE,neighbor,0.2587052296522561,0.2145524844729306,0.3015715436986329,-0.03462522965225617,black,2,Luchek_Amsar
Luchek,Dzhilikhur,41.60988,47.307307,5.588360544229246,0.30320470588235293,TRUE,neighbor,0.2729665538568192,0.2280811808941731,0.3166411462317419,0.030238152025533704,black,1,Luchek_Dzhilikhur
Luchek,Dzhilikhur,41.65545,47.26768,5.588360544229246,0.30320470588235293,TRUE,neighbor,0.2729665538568192,0.2280811808941731,0.3166411462317419,0.030238152025533704,black,2,Luchek_Dzhilikhur
Luchek,Kina,41.60988,47.307307,4.76472735934158,0.21223058823529417,TRUE,neighbor,0.2688274547371891,0.22414850699397226,0.3122736555332726,-0.05659686650189494,tomato,1,Luchek_Kina
Luchek,Kina,41.6166,47.2647,4.76472735934158,0.21223058823529417,TRUE,neighbor,0.2688274547371891,0.22414850699397226,0.3122736555332726,-0.05659686650189494,tomato,2,Luchek_Kina
Myukhrek,Dzhilikhur,41.68,47.29,3.096713616760204,0.18236235294117642,TRUE,neighbor,0.2606362569350765,0.2163807482084728,0.303615571901525,-0.0782739039939001,tomato,1,Myukhrek_Dzhilikhur
Myukhrek,Dzhilikhur,41.65545,47.26768,3.096713616760204,0.18236235294117642,TRUE,neighbor,0.2606362569350765,0.2163807482084728,0.303615571901525,-0.0782739039939001,tomato,2,Myukhrek_Dzhilikhur
Rutul,Kiche,41.5342,47.4269,6.098084422319832,0.2076,TRUE,neighbor,0.27555999043991974,0.23054781218899933,0.31937515550837603,-0.06795999043991974,tomato,1,Rutul_Kiche
Rutul,Kiche,41.53146,47.48171,6.098084422319832,0.2076,TRUE,neighbor,0.27555999043991974,0.23054781218899933,0.31937515550837603,-0.06795999043991974,tomato,2,Rutul_Kiche
Rutul,Kufa,41.5342,47.4269,5.994522691216179,0.1546776470588236,TRUE,neighbor,0.27503108920618247,0.23004461406059878,0.31881774322693657,-0.12035344214735888,tomato,1,Rutul_Kufa
Rutul,Kufa,41.564115,47.376937,5.994522691216179,0.1546776470588236,TRUE,neighbor,0.27503108920618247,0.23004461406059878,0.31881774322693657,-0.12035344214735888,tomato,2,Rutul_Kufa
Shinaz,Kala,41.618658,47.375666,4.197169576174541,0.27197176470588236,TRUE,neighbor,0.26601182458129924,0.22147617310837195,0.3092997910363664,0.0059599401245831185,black,1,Shinaz_Kala
Shinaz,Kala,41.577819,47.3499843,4.197169576174541,0.27197176470588236,TRUE,neighbor,0.26601182458129924,0.22147617310837195,0.3092997910363664,0.0059599401245831185,black,2,Shinaz_Kala
